x y12 y16 y24 y32
100 -0.026231196616535703 -0.026502188537056545 -0.026357805480326083 -0.025714656356022048
101 -0.02631427333731097 -0.026447890315713176 -0.026301645229053133 -0.02561357774677543
102 -0.02636406555524336 -0.026514240589644723 -0.02638644847967356 -0.025686870830268577
103 -0.026263804026992726 -0.02651999637883208 -0.026297684379117017 -0.025669107666395866
104 -0.0262945576823219 -0.026532688259377903 -0.026267737608614613 -0.025743206670402165
105 -0.026336699650334607 -0.026536253356363722 -0.026354682857496887 -0.02576336195606152
106 -0.0263531355820583 -0.026523127762481336 -0.026251292820377786 -0.025769148570519897
107 -0.02633705050994157 -0.026502494327603533 -0.026398367120354167 -0.02578652747609991
108 -0.02625367561474619 -0.026517390248310957 -0.026343274314779674 -0.0258764356544786
109 -0.026390733487229433 -0.026552206648381704 -0.026348458984500486 -0.02583731841551051
110 -0.026363142379952163 -0.026506938293280293 -0.026358668479057476 -0.025843192990905418
111 -0.026311091177963677 -0.026480068434949423 -0.026365012597947154 -0.026073484114835423
112 -0.026397620453161432 -0.026523660034655602 -0.02634449221353534 -0.02628163102527338
113 -0.026375299960226518 -0.02654995113369753 -0.026400897614661026 -0.026345592585284728
114 -0.02630954919394802 -0.026537693453081948 -0.026430901982515537 -0.026250530862089762
115 -0.026364740970331358 -0.026543713885356746 -0.026443872214944805 -0.0260336808621242
116 -0.026363601661300265 -0.02652104764956492 -0.026451828121175597 -0.02601519800083604
117 -0.026470042909302226 -0.026512026215526643 -0.026345581916506773 -0.025956372249927192
118 -0.02636997726347455 -0.026491559414517127 -0.026354439847693957 -0.02592552538351821
119 -0.026437230937138165 -0.02654100263800864 -0.026381496207458884 -0.02598830299014699
120 -0.026417056043306908 -0.026583722876715267 -0.026427142960583662 -0.025967749703798223
121 -0.026380569749630826 -0.02656048279241513 -0.026419220289664598 -0.02602542145752719
122 -0.026402748749520304 -0.026528612470247098 -0.026399762992832074 -0.025979059915975967
123 -0.026357006111778977 -0.0265298606663981 -0.02639073146005956 -0.026006227555946206
124 -0.02637115486836148 -0.026487982473357687 -0.02644217213646071 -0.026061683856458035
125 -0.026459229800183753 -0.02654067743281904 -0.026385121977019903 -0.026040318322643752
