x y z
-0.2638888888888889 -0.05555555555555558 6.303863007250843e-07
-0.2638888888888889 -0.04861111111111113 3.852360726653293e-07
-0.2638888888888889 -0.041666666666666685 8.054936064820522e-07
-0.2638888888888889 -0.03472222222222224 1.155708217995988e-06
-0.2638888888888889 -0.02777777777777779 1.5759657518127107e-06
-0.2638888888888889 -0.020833333333333343 2.4515022805975504e-06
-0.2638888888888889 -0.013888888888888895 2.5915881252031243e-06
-0.2638888888888889 -0.0069444444444444475 2.6616310475059117e-06
-0.2638888888888889 0.0 1.7510730575696786e-06
-0.2638888888888889 0.00694444444444442 2.136309130235008e-06
-0.2638888888888889 0.013888888888888895 2.381459358294763e-06
-0.2638888888888889 0.020833333333333315 1.7860945187210723e-06
-0.2638888888888889 0.02777777777777779 2.2763949748405825e-06
-0.2638888888888889 0.03472222222222221 1.4358799072071366e-06
-0.2638888888888889 0.04166666666666663 1.4008584460557429e-06
-0.2638888888888889 0.048611111111111105 1.155708217995988e-06
-0.2638888888888889 0.055555555555555525 8.054936064820522e-07
-0.2638888888888889 0.0625 9.455794510876265e-07
-0.2638888888888889 0.06944444444444442 3.852360726653293e-07
-0.2638888888888889 0.0763888888888889 2.1012876690836145e-07
-0.2638888888888889 0.08333333333333331 1.0506438345418073e-07
-0.2638888888888889 0.09027777777777773 2.1012876690836145e-07
-0.2638888888888889 0.09722222222222221 7.004292230278714e-08
-0.2638888888888889 0.10416666666666663 3.502146115139357e-08
-0.2638888888888889 0.1111111111111111 3.502146115139357e-08
-0.2638888888888889 0.13888888888888884 3.502146115139357e-08
-0.2604166666666667 -0.1076388888888889 2.45150228059755e-07
-0.2604166666666667 -0.10069444444444445 3.502146115139357e-07
-0.2604166666666667 -0.09375 1.4008584460557429e-07
-0.2604166666666667 -0.08680555555555555 2.45150228059755e-07
-0.2604166666666667 -0.07986111111111113 2.1012876690836145e-07
-0.2604166666666667 -0.07291666666666669 2.45150228059755e-07
-0.2604166666666667 -0.06597222222222224 5.953648395736907e-07
-0.2604166666666667 -0.05902777777777779 5.603433784222971e-07
-0.2604166666666667 -0.05208333333333334 1.0856652956932008e-06
-0.2604166666666667 -0.045138888888888895 8.755365287848393e-07
-0.2604166666666667 -0.03819444444444445 1.6109872129641044e-06
-0.2604166666666667 -0.03125 1.6109872129641044e-06
-0.2604166666666667 -0.02430555555555558 3.0818885813226345e-06
-0.2604166666666667 -0.017361111111111133 3.3270388093823894e-06
-0.2604166666666667 -0.010416666666666685 3.2569958870796024e-06
-0.2604166666666667 -0.0034722222222222376 3.92240364895608e-06
-0.2604166666666667 0.00347222222222221 3.4671246539879637e-06
-0.2604166666666667 0.01041666666666663 2.871759814414273e-06
-0.2604166666666667 0.017361111111111105 3.607210498593538e-06
-0.2604166666666667 0.024305555555555525 2.9067812755656666e-06
-0.2604166666666667 0.03125 2.3464378971433695e-06
-0.2604166666666667 0.03819444444444442 2.556566664051731e-06
-0.2604166666666667 0.045138888888888895 3.1519315036254215e-06
-0.2604166666666667 0.052083333333333315 1.5409442906613172e-06
-0.2604166666666667 0.059027777777777735 9.8060091223902e-07
-0.2604166666666667 0.06597222222222221 1.3658369849043494e-06
-0.2604166666666667 0.07291666666666663 9.8060091223902e-07
-0.2604166666666667 0.0798611111111111 2.8017168921114857e-07
-0.2604166666666667 0.08680555555555552 1.0506438345418073e-07
-0.2604166666666667 0.09375 3.852360726653293e-07
-0.2604166666666667 0.10069444444444442 3.502146115139357e-08
-0.2604166666666667 0.1076388888888889 2.1012876690836145e-07
-0.2604166666666667 0.11458333333333331 3.852360726653293e-07
-0.2604166666666667 0.13541666666666663 3.502146115139357e-08
-0.2569444444444444 -0.125 1.0506438345418073e-07
-0.2569444444444444 -0.11805555555555555 3.502146115139357e-08
-0.2569444444444444 -0.1111111111111111 2.8017168921114857e-07
-0.2569444444444444 -0.10416666666666669 3.502146115139357e-07
-0.2569444444444444 -0.09722222222222224 3.852360726653293e-07
-0.2569444444444444 -0.09027777777777779 3.502146115139357e-07
-0.2569444444444444 -0.08333333333333334 5.953648395736907e-07
-0.2569444444444444 -0.0763888888888889 6.303863007250843e-07
-0.2569444444444444 -0.06944444444444445 1.0156223733904136e-06
-0.2569444444444444 -0.0625 1.47090136835853e-06
-0.2569444444444444 -0.05555555555555558 1.5409442906613172e-06
-0.2569444444444444 -0.04861111111111113 2.0662662079322207e-06
-0.2569444444444444 -0.041666666666666685 3.292017348230996e-06
-0.2569444444444444 -0.03472222222222224 3.046867120171241e-06
-0.2569444444444444 -0.02777777777777779 3.4321031928365703e-06
-0.2569444444444444 -0.020833333333333343 4.482747027378377e-06
-0.2569444444444444 -0.013888888888888895 5.3933050173146105e-06
